character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
椎名立希,灯,灯,word,8,"""[\""这家伙竟敢无视灯！让灯\"", \""这家伙竟敢无视灯！让灯等了这么长时间！\"", \""灯….我们走吧，我，我送你回\""]""","""[\""00:04:04.000\"", \""00:04:04.000\"", \""00:04:05.000\"", \""00:04:05.000\"", \""00:04:11.000\""]""",high,BV1AST4zJEg6
椎名立希,的,的,word,5,"""[\""哈？真的假的，不过灯你真\"", \""哈？真的假的，不过灯你真的没事吗？\""]""","""[\""00:05:04.000\"", \""00:05:04.000\"", \""00:05:05.000\"", \""00:05:05.000\"", \""00:05:05.000\""]""",high,BV1AST4zJEg6
椎名立希,真,真,word,4,"""[\""哈？真的假的，不过灯你真\"", \""哈？真的假的，不过灯你真的没事吗？\""]""","""[\""00:05:04.000\"", \""00:05:04.000\"", \""00:05:05.000\"", \""00:05:05.000\""]""",high,BV1AST4zJEg6
椎名立希,这,这,word,4,"""[\""哈？这么就挂了？\"", \""这家伙竟敢无视灯！让灯\"", \""这家伙竟敢无视灯！让灯等了这么长时间！\""]""","""[\""00:03:55.000\"", \""00:04:04.000\"", \""00:04:05.000\"", \""00:04:05.000\""]""",high,BV1AST4zJEg6
椎名立希,吧,吧,filler,3,"""[\""灯….我们走吧，我，我送你回\"", \""好吧\"", \""好吧，注意安全啊灯\""]""","""[\""00:04:11.000\"", \""00:05:14.000\"", \""00:05:15.000\""]""",high,BV1AST4zJEg6
椎名立希,真的,真的,phrase_2char,3,"""[\""哈？真的假的，不过灯你真\"", \""哈？真的假的，不过灯你真的没事吗？\""]""","""[\""00:05:04.000\"", \""00:05:05.000\"", \""00:05:05.000\""]""",high,BV1AST4zJEg6
椎名立希,你,你,word,3,"""[\""灯….我们走吧，我，我送你回\"", \""哈？真的假的，不过灯你真\"", \""哈？真的假的，不过灯你真的没事吗？\""]""","""[\""00:04:11.000\"", \""00:05:04.000\"", \""00:05:05.000\""]""",high,BV1AST4zJEg6
椎名立希,吧,吧,word,3,"""[\""灯….我们走吧，我，我送你回\"", \""好吧\"", \""好吧，注意安全啊灯\""]""","""[\""00:04:11.000\"", \""00:05:14.000\"", \""00:05:15.000\""]""",high,BV1AST4zJEg6
椎名立希,哈,哈,word,3,"""[\""哈？这么就挂了？\"", \""哈？真的假的，不过灯你真\"", \""哈？真的假的，不过灯你真的没事吗？\""]""","""[\""00:03:55.000\"", \""00:05:04.000\"", \""00:05:05.000\""]""",high,BV1AST4zJEg6
椎名立希,我,我,word,3,"""[\""灯….我们走吧，我，我送你回\""]""","""[\""00:04:11.000\"", \""00:04:11.000\"", \""00:04:11.000\""]""",high,BV1AST4zJEg6
